timestamp,command,angle1,angle2
1762526760.4712076,move up,45.0,45.0
1762526760.9684746,move up,45.0,43.0
1762526761.133602,move up,45.0,41.0
1762526761.2987273,move up,45.0,39.0
1762526761.5963075,move up,45.0,37.0
1762526761.7611744,move up,45.0,35.0
1762526761.9607472,move up,45.0,33.0
1762526762.1605048,move up,45.0,31.0
1762526762.3592508,move up,45.0,29.0
1762526762.557748,move up,45.0,27.0
1762526762.722463,move up,45.0,25.0
1762526762.8875294,move up,45.0,23.0
1762526763.0535135,move up,45.0,21.0
1762526763.1853805,move up,45.0,19.0
1762526763.3849413,move up,45.0,17.0
1762526763.5825806,move up,45.0,15.0
1762526763.7492669,move up,45.0,13.0
1762526763.916874,move up,45.0,11.0
1762526764.5129168,move up,45.0,9.0
1762526764.6786044,move up,45.0,7.0
1762526764.8780398,move up,45.0,5.0
1762526765.0097606,move up,45.0,3.0
1762526765.2079167,move up,45.0,1.0
1762526765.374396,move up,45.0,-1.0
1762526765.539784,move up,45.0,-3.0
1762526765.704285,move up,45.0,-5.0
1762526765.869883,move up,45.0,-7.0
1762526766.0350475,move up,45.0,-9.0
1762526766.2002041,move up,45.0,-11.0
1762526766.365314,move up,45.0,-13.0
1762526766.5312445,move up,45.0,-15.0
1762526766.72996,move up,45.0,-17.0
1762526766.894803,move up,45.0,-19.0
1762526767.0606804,move up,45.0,-21.0
1762526767.225217,move up,45.0,-23.0
1762526767.3918185,move up,45.0,-25.0
1762526767.5576422,move up,45.0,-27.0
1762526767.6899586,move up,45.0,-29.0
1762526767.8899398,move up,45.0,-31.0
1762526768.0548875,move up,45.0,-33.0
1762526768.2192008,move up,45.0,-35.0
1762526768.38422,move up,45.0,-37.0
1762526768.5493493,move up,45.0,-39.0
1762526768.7473063,move up,45.0,-41.0
1762526769.5808184,move down,45.0,-43.0
1762526769.779136,move down,45.0,-41.0
1762526769.94582,move down,45.0,-39.0
1762526770.1104882,move down,45.0,-37.0
1762526770.275947,move down,45.0,-35.0
1762526770.4747221,move down,45.0,-33.0
1762526770.6396928,move down,45.0,-31.0
1762526770.8378956,move down,45.0,-29.0
1762526771.0709286,move down,45.0,-27.0
1762526771.235104,move down,45.0,-25.0
1762526771.4015572,move down,45.0,-23.0
1762526771.5999415,move down,45.0,-21.0
1762526771.765738,move down,45.0,-19.0
1762526771.9305665,move down,45.0,-17.0
1762526772.1295671,move down,45.0,-15.0
1762526772.2940662,move down,45.0,-13.0
1762526772.4924023,move down,45.0,-11.0
1762526772.6597567,move down,45.0,-9.0
1762526772.8242729,move down,45.0,-7.0
1762526773.0223982,move down,45.0,-5.0
1762526773.220518,move down,45.0,-3.0
1762526773.386025,move down,45.0,-1.0
1762526773.5838027,move down,45.0,1.0
1762526773.7481606,move down,45.0,3.0
1762526773.9474382,move down,45.0,5.0
1762526774.1129296,move down,45.0,7.0
1762526774.3116992,move down,45.0,9.0
1762526774.4765792,move down,45.0,11.0
1762526774.641889,move down,45.0,13.0
1762526774.842424,move down,45.0,15.0
1762526775.0098002,move down,45.0,17.0
1762526775.8029065,move left,45.0,19.0
1762526776.0342412,move left,43.0,19.0
1762526776.2008867,move left,41.0,19.0
1762526776.4000168,move left,39.0,19.0
1762526776.5984848,move left,37.0,19.0
1762526776.7657156,move left,35.0,19.0
1762526776.9633188,move left,33.0,19.0
1762526777.162354,move left,31.0,19.0
1762526777.3272178,move left,29.0,19.0
1762526777.5260832,move left,27.0,19.0
1762526777.6912694,move left,25.0,19.0
1762526777.8894799,move left,23.0,19.0
1762526778.0891027,move left,21.0,19.0
1762526778.9462836,move right,19.0,19.0
1762526779.1448412,move right,21.0,19.0
1762526779.3098543,move right,23.0,19.0
1762526779.5073786,move right,25.0,19.0
1762526779.7060888,move right,27.0,19.0
1762526779.8714063,move right,29.0,19.0
1762526780.0710201,move right,31.0,19.0
1762526780.2355783,move right,33.0,19.0
1762526780.433213,move right,35.0,19.0
1762526780.5985074,move right,37.0,19.0
1762526781.0283651,move right,39.0,19.0
1762526781.4934692,move right,41.0,19.0
1762526781.8909473,move right,43.0,19.0
1762526782.984359,pick,45.0,19.0
1762526783.6468778,pick,45.0,19.0
1762526784.1448376,pick,45.0,19.0
1762526784.5741515,pick,45.0,19.0
1762526784.738226,pick,45.0,19.0
1762526785.1368513,pick,45.0,19.0
1762526785.996812,drop,45.0,19.0
1762526786.5291371,drop,45.0,19.0
1762526786.9622498,drop,45.0,19.0
1762526789.8720527,move up,45.0,19.0
1762526790.862633,pick,45.0,17.0
1762526791.8607688,drop,45.0,17.0
1762526792.886663,move left,45.0,17.0
1762526793.880106,move up,43.0,17.0
1762526794.8718832,move left,43.0,15.0
1762526795.8624086,drop,41.0,15.0
1762526796.8549433,move left,41.0,15.0
1762526797.879785,move down,39.0,15.0
1762526798.87333,move right,39.0,17.0
1762526799.8659554,pick,41.0,17.0
1762526800.85986,move left,41.0,17.0
1762526801.8824258,move right,39.0,17.0
1762526802.8761675,move down,41.0,17.0
1762526803.8685052,pick,41.0,19.0
1762526804.8645267,move right,41.0,19.0
1762526805.8563557,move right,43.0,19.0
1762526806.8816607,move left,45.0,19.0
1762526807.8743696,move up,43.0,19.0
1762526808.8692803,drop,43.0,17.0
1762526809.8612683,move left,43.0,17.0
1762526810.8552072,move up,41.0,17.0
1762526811.8800888,move right,41.0,15.0
1762526812.8713493,move down,43.0,15.0
1762526813.866453,move left,43.0,17.0
1762526814.8594356,move up,41.0,17.0
1762526815.8548734,move down,41.0,15.0
1762526816.8847353,move right,41.0,17.0
1762526817.8791482,move down,43.0,17.0
1762526818.870668,move up,43.0,19.0
1762526819.8651073,pick,43.0,17.0
1762526824.830833,move up,43.0,17.0
1762526825.7267382,move down,43.0,15.0
1762526826.6549685,move left,43.0,17.0
1762526827.5492508,move right,41.0,17.0
1762526828.6079168,pick,43.0,17.0
1762526830.2662923,drop,43.0,17.0
